,age,dsl,dt,fwf
8.4,8.395,-0.10970647178314508,315359999.9999933,125931.45226249161
8.41,8.405000000000001,-0.07971768392656031,315359999.9999933,91507.48852554365
8.45,8.43,-0.28969699305256924,1261439999.9999733,83135.3940615743
8.47,8.46,-0.1675058163121541,630720000.0000426,96139.50010305
8.49,8.48,-0.26403741216513055,630719999.9999866,151543.54262395244
8.51,8.5,-0.24080293949001685,630719999.9999866,138208.1812775684
8.52,8.515,-0.09662016416212182,315359999.9999933,110909.75211405645
8.54,8.53,-0.27134015188819305,630719999.9999866,155734.92989524346
8.56,8.55,-0.31673069929296105,630720000.0000426,181786.70906907055
8.57,8.565000000000001,-0.15897883718045236,315359999.9999933,182490.9280166317
8.58,8.575,-0.12733916858632455,315359999.9999933,146171.9274107384
8.6,8.59,-0.29405174740452367,630719999.9999866,168770.1873421484
8.61,8.605,-0.06649414332467884,315359999.9999933,76328.25939730546
8.62,8.614999999999998,-0.043580857250681504,315359999.9999933,50026.22502773668
8.71,8.665,-0.8960406493513062,2838240000.0000515,114284.45623526092
8.73,8.72,-0.10220075007157803,630719999.9999866,58657.83790891684
8.76,8.745000000000001,-0.15029468932436885,946079999.9999799,57507.48090586703
8.79,8.774999999999999,-0.2705898925599115,946079999.9999799,103536.21375220917
8.8,8.795,-0.10415929386612177,315360000.0000493,119563.87740845443
8.85,8.825,-0.7374146056897324,1576799999.9999664,169294.8295660127
8.91,8.879999999999999,-0.9929217945294901,1892160000.000016,189961.5728160792
8.92,8.915,-0.14627896421193043,315359999.9999933,167912.81406874664
8.93,8.925,-0.1424262639480709,315359999.9999933,163490.32074201785
8.94,8.934999999999999,-0.14099477918362524,315359999.9999933,161847.12729729014
8.95,8.945,-0.16101534640077375,315359999.9999933,184828.62568836036
8.96,8.955,-0.16768698361267909,315360000.0000493,192486.9611484663
8.99,8.975000000000001,-0.5622424673706803,946079999.9999799,215131.6729961426
9.02,9.004999999999999,-0.6071779998770452,946079999.9999799,232325.42275018504
9.07,9.045,-0.9489492791424752,1576800000.0000222,217858.72593199593
9.11,9.09,-0.700137311546122,1261439999.9999733,200920.93700826162
9.13,9.120000000000001,-0.2614029618546496,630720000.0000426,150031.50715274096
9.15,9.14,-0.23489468074055253,630719999.9999866,134817.1525052033
9.17,9.16,-0.2803909260179438,630719999.9999866,160929.59668077403
9.18,9.175,-0.13462805943896683,315359999.9999933,154538.80491155197
